AED,UAE Dirham,Dirham des êAUnis,Dirham de los EµU,VAE-Dirham,Dirham dos Emirados
CNY,Yuan Renminbi,Yuan Ren-Min-Bi,Yuan Renminbi de China,Renminbi Yuan,Renminbi
COP,Colombian Peso,Peso Colombien,Peso colombiano,Kolumbianischer Peso,Peso colombiano
COU,Unidad de Valor Real,Unidad de Valor Real,Unidad de valor Colombiana,Unidad de Valor real,Unidade de Valor Real
CRC,Costa Rican Colon,Colon de Costa Rica,Col¢n Costarricense,Costa-Rica-Col¢n,Colon da Costa Rica
CUC,Peso Convertible,Peso Convertible,Peso Convertible,Kubanischer Peso,Cuban convertible peso
CUP,Cuban Peso,Peso Cubain,Peso cubano,Konvertibler Peso ,Peso cubano
CVE,Cape Verde Escudo,Escudo du Cap-Vert,Escudo Caboverdiano,Kap-Verde-Escudo,Escudo cabo-verdiano
CYP,Cypriot pound,Livre Chypriote,Libra Chipriota,Zypern-Pfund,Libra cipriota
CZK,Czech Koruna,Couronne Tchäque,Koruna Checo,Tschechische Krone,Coroa
DEM,German mark,Mark Allemand,Marco Alem†n,Deutsche Mark,Marco alem∆o
DJF,Djibouti Franc,Franc de Djibouti,Franco Yibutiano,Dschibuti-Franc,Franco do Djibuti
DKK,Danish Krone,Couronne Danoise,Corona Danesa,DÑnische Krone,Coroa dinamarquesa
DOP,Dominican Peso,Peso Dominicain,Peso Dominicano,Dominikanischer Peso,Peso
DZD,Algerian Dinar,Dinar AlgÇrien,Dinar Algerino,Algerischer Dinar,Dinar argelino
EEK,Kroon,Couronne Estonienne,Corona Estonia,Estnische Krone,Coroa estoniana
EGP,Egyptian Pound,Livre êgyptienne,Libra Egipcia,égyptisches Pfund,Libra eg°pcia
ERN,Nakfa,Nakfa,Nakfa Eritreo,Nakfa,Nakfa
ESP,Spanish peseta,Peseta Espagnole,Peseta Espa§ola,Peseta,Peseta espanhola
ETB,Ethiopian Birr,Birr êthiopien,Birr Et°ope,Birr,Birr et°ope
EUR,Euro,Euro,Euro,Euro,Euro
FIM,Finnish markka,Mark Finlandais,Marco FinlandÇs,Finnmark,Marca finlandesa
FJD,Fiji Dollar,Dollar de Fidji,D¢lar Fijiano,Fidschi-Dollar,D¢lar das Fiji
FKP,Falkland Islands Pound,Livre de Falkland,Libra Malvinense,Falkland-Pfund,Libra das Malvinas
FRF,French franc,Franc Franáais,Franco FrancÇs,Franzîsischer Franc,Franco francàs
GBP,Pound Sterling,Livre Sterling,Libra Esterlina,Pfund Sterling,Libra Esterlina
GEL,Lari,Lari,Lari Georgiano,Lari,Lari
GHC,Ghanaian cedi,Ghana: Cedi,Ghana: Cedi,Ghana: Cedi,Gana: cedi
GHS,Cedi,Ghana Cedi,Cedi GhanÇs,Ghana Cedi,Cedi
GIP,Gibraltar Pound,Livre de Gibraltar,Libra de Gibraltar,Gibraltar-Pfund,Libra de Gibraltar
GMD,Dalasi,Dalasi,Dalasi Gambiano,Dalasi,Dalasi
GNF,Guinea Franc,Franc GuinÇen,Franco Guineano,Guinea-Franc,Franco da GuinÇ
GRD,Greek Drachma,Drachme Grecque,Dracma Griega,Drachme,Fracma
GTQ,Quetzal,Quetzal,Quetzal Guatemalteco,Quetzal,Quetzal guatemalteco
GYD,Guyana Dollar,Dollar de Guyane,D¢lar GuyanÇs,Guyana-Dollar,D¢lar da Guiana
HKD,Hong Kong Dollar,Dollar de Hong-Kong,D¢lar de Hong Kong,Hongkong-Dollar,D¢lar de Hong Kong
HNL,Lempira,Lempira,Lempira Hondure§o,Lempira,Lempira
HRK,Croatian Kuna,Kuna,Kuna Croata,Kuna,Kuna
HTG,Gourde,Gourde,Gourde Haitiano,Gourde,Gourde
HUF,Forint,Forint,Forint H£ngaro,Forint,Forint
IDR,Rupiah,Rupiah,Rupiah Indonesia,Rupiah,Rupia indonÇsia
IEP,Irish pound,Livre Irlandaise,Libra Irlandesa,Irisches Pfund,Libra irlandesa
ILS,New Israeli Sheqel,Nouvel Israâli sheqel,Nuevo ShÇquel Israel°,Schekel,Shekel
INR,Indian Rupee,Roupie Indienne,Rupia India,indische Rupie,Rupia indiana
IQD,Iraqi Dinar,Dinar Iraquien,Dinar Iraqu°,Irak-Dinar,Dinar iraquiano
IRR,Iranian Rial,Rial Iranien,Rial Iran°,Iranischer Rial,Rial iraniano
ISK,Iceland Krona,Couronne Islandaise,Kr¢na Islandesa,IslÑndische Krone,Krona islandesa
ITL,Italian Lira,Lire Italienne,Lira Italiana,Italienische Lira,Lira italiana
JMD,Jamaican Dollar,Dollar Jamaãcain,D¢lar Jamaicano,Jamaika-Dollar,D¢lar jamaicano
JOD,Jordanian Dinar,Dinar Jordanien,Dinar Jordano,Jordan-Dinar,Dinar jordano
JPY,Yen,Yen,Yen JaponÇs,Yen,Iene  
KES,Kenyan Shilling,Shilling du Kenya,Chel°n Keniata,Kenia-Schilling,Xelim queniano
KGS,Som,Som,Som Kirgu°s (de Kirguist†n),Som,Som
KHR,Riel,Riel,Riel Camboyano,Riel,Riel
KMF,Comoro Franc,Franc des Comores,Franco Comoriano (de Comoras),Komoren-Franc,Franco das Comoros
KPW,North Korean Won,Won de la CorÇe du Nord,Won Norcoreano,Nordkoreanischer Won,Won norte coreano
KRW,Won,Won,Won Surcoreano,SÅdkoreanischer Won,Won sul coreano
KWD,Kuwaiti Dinar,Dinar Koweãtien,Dinar Kuwait°,Kuwait-Dinar,Dinar do Kuwait
KYD,Cayman Islands Dollar,Dollar des Iles Caãmanes,D¢lar Caimano (de Islas Caim†n),Kaiman-Dollar,D¢lar das Ilhas Caim∆o
KZT,Tenge,Tenge,Tenge Kazajo (de Kazajist†n),Tenge,Tenge
LAK,Kip,Kip,Kip Lao,Kip,Kip
LBP,Lebanese Pound,Livre Libanaise,Libra Kibanesa,Libanesisches Pfund,Libra libanesa
LKR,Sri Lanka Rupee,Roupie de Sri Lanka,Rupia de Sri Lanka,Sri-Lanka-Rupie,Rupia do Sri Lanka
LRD,Liberian Dollar,Dollar LibÇrien,D¢lar Liberiano,liberianischer Dollar,D¢lar da LibÇria
LSL,Loti,Loti,Loti Lesothense (de Lesotho),Loti,Loti
LTL,Lithuanian Litas,Litas Lituanien,Litas Lituano,Litas,Litas
LUF,Luxembourg franc,Franc Luxembourgeois,Franco LuxemburguÇs,Luxemburgischer Franc,Franco luxemburguàs
LVL,Latvian Lats,Lats Letton,Lat Let¢n,Lats,Lats
LYD,Libyan Dinar,Dinar Libyen,Dinar Libio,Libyscher Dinar,Dinar da L°bia
MAD,Moroccan Dirham,Dirham Marocain,Dirham Marroqu°,Marokkanischer Dirham,Dirham marroquino
MDL,Moldovan Leu,Leu de Moldovie,Leu Moldavo,Moldau-Leu,Leu
MGA,Malagasy Ariary,Malagasy Ariary,Ariary Malgache,Ariary,Ariary
MKD,Denar,Denar,Denar Macedonio,Denar,Denar
MMK,Kyat,Kyat,Kyat Myanmaro,Kyat,Kyat
MNT,Tugrik,Tugrik,Tughrik Mongol,Tugrik,Tugrik
MOP,Pataca,Pataca,Pataca de Macao,Pataca,Pataca
MRO,Ouguiya,Ouguija,Ouguiya Mauritana,Ouguiya,Ouguiya
MTL,Maltese lira,Lire Maltaise,Lira Maltesa,Maltesische Lira,Lira maltesa
MUR,Mauritius Rupee,Roupie de Maurice,Rupia Mauricia,Mauritius-Rupie,Rupia da Maur°cia
MVR,Rufiyaa,Rufiyaa,Rufiyaa Maldiva,Rufiyaa,Rufiyaa
MWK,Kwacha,Kwacha de Malawi,Kwacha Malawiano,Malawi-Kwacha,Kwacha
MXN,Mexican Peso,Peso Mexicain,Peso Mexicano,Mexikanischer Peso,Peso Mexicano
MXV,Mexican Unidad de Inversion,Mexican Unidad de Inversion,Unidad de Inversi¢n Mexicana,Mexikanischer,Unidade Mexicana de Investimento
MYR,Malaysian Ringgit,Ringgit de Malaisie,Ringgit Malayo,Ringgit,Ringgit
MZN,Metical,Metical,Metical Mozambique§o,Metical,Metical
NAD,Namibia Dollar,Dollar Namibien,D¢lar namibio,Namibia-Dollar,D¢lar da Nam°bia
NGN,Naira,Naira,Naira Nigeriana,Naira,Naira
