ESP,Spanish peseta,Peseta Espagnole,Peseta Española,Peseta,Peseta espanhola,ペセタ,西班牙比塞塔,스페인 페세타,Spaanse peseta,Peseta spagnola
ETB,Ethiopian Birr,Birr Éthiopien,Birr Etíope,Birr,Birr etíope,ブル,埃塞俄比亞比爾,에티오피아 비르,Ethiopische birr,Birr etiope
EUR,Euro,Euro,Euro,Euro,Euro,ユーロ,歐元,유로,Euro,Euro
FIM,Finnish markka,Mark Finlandais,Marco Finlandés,Finnmark,Marca finlandesa,フィンランド・マルッカ,芬蘭馬克,핀란드 마르카,Finse markka,Marco finlandese
FJD,Fiji Dollar,Dollar de Fidji,Dólar Fijiano,Fidschi-Dollar,Dólar das Fiji,フィジー・ドル,斐濟元,피지 달러,Fiji-dollar,Dollaro delle Figi
FKP,Falkland Islands Pound,Livre de Falkland,Libra Malvinense,Falkland-Pfund,Libra das Malvinas,フォークランド諸島・ポンド,福克蘭鎊,포클랜드 제도 파운드,Falklandeilands pond,Sterlina delle Falkland
FRF,French franc,Franc Français,Franco Francés,Französischer Franc,Franco francês,フランス・フラン,法國法郎,프랑스 프랑,Franse frank,Franco francese
GBP,Pound Sterling,Livre Sterling,Libra Esterlina,Pfund Sterling,Libra Esterlina,UKポンド,英鎊,영국 파운드,Brits pond sterling,Sterlina britannica
GEL,Lari,Lari,Lari Georgiano,Lari,Lari,ラリ,格魯吉亞拉裡,그루지야(조지아) 라리,Georgische lari,Lari georgiano
GHC,Ghanaian cedi,Ghana: Cedi,Ghana: Cedi,Ghana: Cedi,Gana: cedi,セディ,加納塞地,가나 세디,Ghanese cedi ,Cedi ghanese
GHS,Cedi,Ghana Cedi,Cedi Ghanés,Ghana Cedi,Cedi,Cedi,Cedi,Cedi,Ghanese cedi,Cedi ghanese
GIP,Gibraltar Pound,Livre de Gibraltar,Libra de Gibraltar,Gibraltar-Pfund,Libra de Gibraltar,ジブラルタル・ポンド,直布羅陀鎊,지브롤터 파운드,Gibraltarees pond,Sterlina di Gibilterra
GMD,Dalasi,Dalasi,Dalasi Gambiano,Dalasi,Dalasi,ダラシ,岡比亞達拉西,감비아 달라시,Gambiaanse dalasi,Dalasi gambese
GNF,Guinea Franc,Franc Guinéen,Franco Guineano,Guinea-Franc,Franco da Guiné,ギニア・フラン,幾內亞法郎,기니 프랑,Guineese frank,Franco guineano
GRD,Greek Drachma,Drachme Grecque,Dracma Griega,Drachme,Fracma,ドラクマ,希臘德拉克馬,그리스 드라크마,Griekse drachme ,Dracma greca
GTQ,Quetzal,Quetzal,Quetzal Guatemalteco,Quetzal,Quetzal guatemalteco,ケツァル,危地馬拉格查爾,과테말라 케찰,Guatemalaanse quetzal,Quetzal guatemalteco
GYD,Guyana Dollar,Dollar de Guyane,Dólar Guyanés,Guyana-Dollar,Dólar da Guiana,ガイアナ・ドル,圭亞那元,가이아나 달러,Guyaanse dollar,Dollaro della Guyana
HKD,Hong Kong Dollar,Dollar de Hong-Kong,Dólar de Hong Kong,Hongkong-Dollar,Dólar de Hong Kong,香港ドル,港幣,홍콩 달러,Hongkongse dollar,Dollaro di Hong Kong
HNL,Lempira,Lempira,Lempira Hondureño,Lempira,Lempira,レンピラ,洪都拉斯倫皮拉,온두라스 렘피라,Hondurese lempira,Lempira honduregna
HRK,Croatian Kuna,Kuna,Kuna Croata,Kuna,Kuna,クーナ,克羅地亞庫納,크로아티아 쿠나,Kroatische kuna,Kuna croata
HTG,Gourde,Gourde,Gourde Haitiano,Gourde,Gourde,グールド,海地古德,아이티 구르드,Haïtiaanse gourde,Gourde haitiano
HUF,Forint,Forint,Forint Húngaro,Forint,Forint,フォリント,匈牙利 福林,헝가리 포린트,Hongaarse forint,Fiorino ungherese
IDR,Rupiah,Rupiah,Rupiah Indonesia,Rupiah,Rupia indonésia,ルピア,印度尼西亞盾,인도네시아 루피아,Indonesische roepia,Rupia indonesiana
IEP,Irish pound,Livre Irlandaise,Libra Irlandesa,Irisches Pfund,Libra irlandesa,アイルランド・ポンド,愛爾蘭鎊,아일랜드 파운드,Iers pond,Sterlina irlandese
