1,705,011,1,Canada,Ontario,-5,26,49,12,Toronto,Canadian dollar ($) (CAD),English/French,13150000,2009,1
1,706,011,1,United States,Georgia,-5,26,47,22,Atlanta,US dollar ($)(USD),English,9685744,2008,2
1,707,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008,2
1,708,011,1,United States,Illinois,-6,25,52,17,Springfield,US dollar ($)(USD),English,12901563,2008,2
1,709,011,1,Canada,Newfoundland,-4,26,59,10,St. John's,Canadian dollar ($) (CAD),English/French,508944,2008,1
1,710,011,1,,U.S. Government,,,,,,,,,,
1,711,011,1,,Relay Service for TTY,,,,,,,,,,
1,712,011,1,United States,Iowa,-6,24,55,17,Des Moines,US dollar ($)(USD),English,3002555,2008,2
1,713,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008,2
1,714,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008,2
1,715,011,1,United States,Wisconsin,-6,23,62,14,Madison,US dollar ($)(USD),English,5627967,2008,2
1,716,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008,2
1,717,011,1,United States,Pennsylvania,-5,26,51,18,Harrisburg,US dollar ($)(USD),English,12432792,2008,2
1,718,011,1,United States,New York,-5,26,53,17,Albany,US dollar ($)(USD),English,19490297,2008,2
1,719,011,1,United States,Colorado,-7,24,50,18,Denver,US dollar ($)(USD),English,4939456,2008,2
1,720,011,1,United States,Colorado,-7,24,50,18,Denver,US dollar ($)(USD),English,4939456,2008,2
1,724,011,1,United States,Pennsylvania,-5,26,51,18,Harrisburg,US dollar ($)(USD),English,12432792,2008,2
1,727,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008,2
1,731,011,1,United States,Tennessee,-6,25,53,20,Nashville,US dollar ($)(USD),English,6214888,2008,2
1,732,011,1,United States,New Jersey,-5,26,53,17,Trenton,US dollar ($)(USD),English,8682661,2008,2
1,734,011,1,United States,Michigan,-5,25,53,14,Lansing,US dollar ($)(USD),English,10003422,2008,2
1,737,011,1,United States,Texas,-6,24,53,23,Austin,US dollar ($)(USD),English,24326974,2008,2
1,740,011,1,United States,Ohio,-5,25,55,16,Columbus,US dollar ($)(USD),English,11485910,2008,2
1,747,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008,2
1,754,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008,2
1,757,011,1,United States,Virginia,-5,26,51,20,Richmond,US dollar ($)(USD),English,7769089,2008,2
1,758,011,1,Saint Lucia,,-4,28,47,37,Castries,E Caribbean dollar (XCD),English/French Creole,160765,2005,17
1,760,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008,2
1,762,011,1,United States,Georgia,-5,26,47,22,Atlanta,US dollar ($)(USD),English,9685744,2008,2
1,763,011,1,United States,Minnesota,-6,25,50,14,Saint Paul,US dollar ($)(USD),English,5220393,2008,2
1,764,011,1,United States,California,-8,24,39,21,Sacramento,US dollar ($)(USD),English,36756666,2008,2
1,765,011,1,United States,Indiana,-5,25,53,17,Indianapolis,US dollar ($)(USD),English,6376792,2008,2
1,767,011,1,Dominica,,-4,28,46,36,Roseau,E Caribbean dollar (XCD),English,72660,2009,18
1,769,011,1,United States,Mississippi,-6,26,42,22,Jackson,US dollar ($)(USD),English,2938618,2008,2
1,770,011,1,United States,Georgia,-5,26,47,22,Atlanta,US dollar ($)(USD),English,9685744,2008,2
1,772,011,1,United States,Florida,-5,26,49,26,Tallahassee,US dollar ($)(USD),English,18328340,2008,2
1,773,011,1,United States,Illinois,-6,25,52,17,Springfield,US dollar ($)(USD),English,12901563,2008,2
1,774,011,1,United States,Massachusetts,-5,26,55,15,Boston,US dollar ($)(USD),English,6497967,2008,2
1,775,011,1,United States,Nevada,-8,24,42,18,Carson City,US dollar ($)(USD),English,2600167,2008,2
1,778,011,1,Canada,British Columbia,-8,24,40,12,Victoria,Canadian dollar ($) (CAD),English/French,4419974,2009,1
